Rk,PFF Name,displayName,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb▼,Solo,Ast,TFL,QBHits,Sfty
85,Donovan Wilson,Donovan Wilson,DAL,27,S,17,17,0.06,0,0,0,0.12,0.12,0,1,0,0,0.29,5.94,4.53,1.41,0.41,0.53,
86,John Johnson,John Johnson,CLE,27,S,17,17,0.06,0,0,0,0.24,0.12,0,2,0,0,0.03,5.94,4.12,1.82,0.24,0.12,
87,Chuck Clark,Chuck Clark,BAL,27,S,17,17,0,0,0,0,0.24,0.06,0,1,-5,0,0,5.94,3.59,2.35,0,0,
88,Sione Takitaki,Sione Takitaki,CLE,27,LB,12,8,,,0,,,0.08,0,0,0,0,0.08,5.92,3,2.92,0.33,0.08,
89,Jerome Baker,Jerome Baker,MIA,26,LB,17,17,0,0,0,0,0.24,0.06,0,0,0,0,0.24,5.88,3.88,2,0.35,0.41,
90,Isaiah Simmons,Isaiah Simmons,ARI,24,LB,17,13,0.12,3.59,0.06,56,0.41,0.12,0,1,0,0,0.24,5.82,4,1.82,0.29,0.24,
91,Shaquill Griffin,Shaquill Griffin,JAX,27,CB,5,5,0,0,0,0,0.8,,,,,0,0,5.8,4.6,1.2,0.6,0,
92,Christian Wilkins,Christian Wilkins,MIA,27,DT,17,17,0,0,0,0,0.35,0.12,0,1,2,0,0.21,5.76,3.47,2.29,0.94,0.41,
93,Taylor Rapp,Taylor Rapp,LAR,25,DB,16,16,0.13,1.13,0,18,0.38,0,0,1,0,0,0,5.75,3.63,2.13,0.13,0.06,
94,Justin Simmons,Justin Simmons,DEN,29,S,12,12,0.5,4.25,0,23,0.58,0.25,0,1,17,0,0,5.75,3.5,2.25,0.17,0,
95,Xavier Woods,Xavier Woods,CAR,27,S,15,15,0,0,0,0,0.4,0,0,2,30,0,0,5.73,3.53,2.2,0,0.07,
96,Talanoa Hufanga*+,Talanoa Hufanga,SFO,22,S,17,17,0.24,3.59,0.06,52,0.53,0.12,0,0,0,0,0.12,5.71,3.88,1.82,0.29,0.18,
97,Jevon Holland,Jevon Holland,MIA,22,S,17,17,0.12,3.76,0,33,0.41,0.06,0.06,0,0,0,0.09,5.65,4.53,1.12,0.06,0.06,
98,Rodney McLeod,Rodney McLeod,IND,32,S,17,15,0.12,1.59,0.06,27,0.47,0,0,1,0,0,0,5.65,3.47,2.18,0.47,0,
99,Taron Johnson,Taron Johnson,BUF,26,CB,16,15,0.06,0.13,0,2,0.56,0,0,1,0,0,0,5.63,4.19,1.44,0.38,0,
100,Jayon Brown,Jayon Brown,LVR,27,LB,8,6,0,0,0,0,0.13,0,0,1,0,0,0,5.63,3.63,2,0,0.13,
101,Jack Gibbens,Jack Gibbens,TEN,24,LB,5,2,0.2,1.4,0,7,0.2,,,,,0,0,5.6,3.2,2.4,0,0,
102,C.J. Gardner-Johnson,C.J. Gardner-Johnson,PHI,25,S,12,12,0.5,4.5,0,25,0.67,,,,,0,0.08,5.58,5.08,0.5,0.42,0.17,
103,Troy Hill,Troy Hill,LAR,31,CB,12,12,0.08,0.42,0,5,0.33,,,,,0,0,5.58,3.75,1.83,0.08,0,
104,Marcus Epps,Marcus Epps,PHI,26,S,17,17,0,0,0,0,0.35,0.06,0,0,0,0,0,5.53,4.12,1.41,0.24,0,
105,Kareem Jackson,Kareem Jackson,DEN,34,S,17,17,0,0,0,0,0.18,0,0,2,2,0,0,5.53,3.24,2.29,0.12,0,
106,Jayron Kearse,Jayron Kearse,DAL,28,S,14,14,0.07,0.14,0,2,0.36,0.07,0,2,6,0,0.14,5.5,3.93,1.57,0.5,0.14,
107,Cam Taylor-Britt,Cam Taylor-Britt,CIN,23,CB,10,9,0,0,0,0,0.6,0.1,0,0,0,0,0,5.5,4.1,1.4,0.1,0,
108,Malcolm Rodriguez,Malcolm Rodriguez,DET,23,LB,16,15,0,0,0,0,0.13,0.06,0,1,2,0,0.06,5.44,3.88,1.56,0.5,0.19,
109,Kenny Moore,Kenny Moore,IND,27,CB,12,12,0,0,0,0,0.33,,,,,0,0.08,5.42,4.17,1.25,0.33,0.08,
110,Nick Scott,Nick Scott,LAR,27,DB,16,16,0.13,0,0,0,0.31,0.13,0,0,0,0,0,5.38,3.5,1.88,0.06,0,
111,Tyrann Mathieu,Tyrann Mathieu,NOR,30,S,17,17,0.18,2.59,0,41,0.47,0.06,0,1,0,0,0.06,5.35,3.76,1.59,0.18,0.06,
112,Jaylinn Hawkins,Jaylinn Hawkins,ATL,25,S,16,16,0.13,0.88,0,14,0.38,0.06,0,1,0,1,0,5.25,2.81,2.44,0,0.06,
113,Jordan Poyer*,Jordan Poyer,BUF,31,S,12,12,0.33,0.5,0,6,0.67,0.08,0,0,0,0,0,5.25,3.67,1.58,0.33,0,
114,Desmond King,Desmond King,HOU,28,DB,17,13,0.12,1.76,0,29,0.47,0,0.06,2,20,0,0,5.24,3.47,1.76,0.59,0.12,
115,Maxx Crosby*,Maxx Crosby,LVR,25,DE,17,17,0,0,0,0,0.24,0.18,0,1,-3,0,0.74,5.24,3.41,1.82,1.29,2.12,
116,Jordan Whitehead,Jordan Whitehead,NYJ,25,S,17,17,0.12,0.29,0,5,0.47,,,,,0,0,5.24,3.41,1.82,0.24,0,
117,Kyle Dugger,Kyle Dugger,NWE,26,DB,15,15,0.2,3.67,0.13,39,0.53,0.07,0,1,59,1,0.07,5.2,3.33,1.87,0.33,0.13,
118,Jalen Ramsey*,Jalen Ramsey,LAR,28,DB,17,17,0.24,3.12,0,28,1.06,0.12,0,1,12,0,0.12,5.18,3.76,1.41,0.24,0.12,
119,Darrick Forrest,Darrick Forrest,WAS,23,S,17,11,0.24,0.06,0,1,0.53,0.12,0,1,12,0,0,5.18,3.29,1.88,0.06,0,
120,Charvarius Ward,Charvarius Ward,SFO,26,CB,17,17,0.06,0.53,0,9,0.65,0.06,0,1,40,0,0,5.12,3.47,1.65,0.18,0,
121,Amani Hooker,Amani Hooker,TEN,24,DB,9,9,0.11,0,0,0,0.33,0.11,0.11,1,0,0,0,5.11,4.33,0.78,0.11,0,
122,Jonas Griffith,Jonas Griffith,DEN,25,LB,9,8,0.11,0.11,0,1,0.11,,,,,0,0,5.11,2.89,2.22,0,0.33,
123,Adoree' Jackson,Adoree' Jackson,NYG,27,CB,10,10,0,0,0,0,0.7,0.1,0,2,1,0,0,5.1,4,1.1,0.2,0,
124,Monty Rice,Monty Rice,TEN,23,LB,13,6,0,0,0,0,0.08,,,,,0,0,5.08,3,2.08,0.31,0.08,
125,Kyler Gordon,Kyler Gordon,CHI,23,DB,14,14,0.21,5.57,0,42,0.43,0.07,0,1,12,0,0,5.07,3.93,1.14,0.14,0,
126,Duron Harmon,Duron Harmon,LVR,31,S,17,16,0.12,5.06,0.06,73,0.29,0.12,0,0,0,0,0,5.06,3.71,1.35,0,0,
127,Rasul Douglas,Rasul Douglas,GNB,28,CB,17,12,0.24,1.53,0,22,0.76,0.06,0.06,0,0,0,0.06,5,4.06,0.94,0.24,0.06,
128,Carlton Davis,Carlton Davis,TAM,26,CB,13,13,0.08,0,0,0,0.92,0.08,0,1,0,0,0,5,4.08,0.92,0.23,0.08,
129,Cameron Dantzler,Cameron Dantzler,MIN,24,CB,10,9,0,0,0,0,0.5,0.1,0,1,16,0,0,5,4.5,0.5,0.3,0,
130,Xavier McKinney,Xavier McKinney,NYG,23,S,9,9,0,0,0,0,0.56,0.11,0,0,0,0,0.11,5,3.22,1.78,0.22,0.11,
131,Ahkello Witherspoon,Ahkello Witherspoon,PIT,27,CB,4,4,0.25,0,0,0,0.5,,,,,0,0,5,4.25,0.75,0,0,
