Rk,PFF Name,PFF Name Cleaned,Data Bowl Name,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
51,Anthony Barr,Anthony Barr,Anthony Barr,MIN,29,LLB,11,11,0.27,1,0,8,0.45,0,0,2,0,0,0.23,6.55,3.45,3.09,0.27,0.55,
52,Xavier Woods,Xavier Woods,#N/A,MIN,26,FS,17,17,0.18,3.18,0,27,0.59,0.12,0,0,0,0,0.06,6.35,4.24,2.12,0.06,0.06,
53,Jayron Kearse,Jayron Kearse,#N/A,DAL,27,SS,16,15,0.13,2.13,0,34,0.63,0,0,1,1,0,0.06,6.31,4.19,2.13,0.56,0.38,
54,Damien Wilson,Damien Wilson,Damien Wilson,JAX,28,LILB,17,17,0.06,0.06,0,1,0.29,0.06,0,0,0,0,0.18,6.24,3.47,2.76,0.29,0.29,
55,Landon Collins,Landon Collins,#N/A,WAS,27,SS,13,13,0.15,0.23,0,3,0.15,0.08,0,2,23,0,0.23,6.23,3.92,2.31,0.54,0.15,
56,Kamren Curl,Kamren Curl,#N/A,WAS,22,FS,16,14,0,0,0,0,0.31,0,0,1,0,0,0.06,6.19,3.88,2.31,0.13,0.19,
57,Isaiah Simmons,Isaiah Simmons,#N/A,ARI,23,LILB,17,17,0.06,0,0,0,0.41,0.24,0,0,0,0,0.09,6.18,4.12,2.06,0.24,0.24,
58,Kyle Dugger,Kyle Dugger,#N/A,NWE,25,DB,15,13,0.27,6.67,0,37,0.33,0,0,1,0,0,0,6.13,4.67,1.47,0.33,0.13,
59,Germaine Pratt,Germaine Pratt,Germaine Pratt,CIN,25,MLB,15,15,0.07,0.27,0,4,0.13,0.13,0,2,0,0,0.03,6.07,3.8,2.27,0.33,0.13,
60,Vonn Bell,Vonn Bell,#N/A,CIN,27,SS,16,16,0.06,0.94,0,15,0.5,0.19,0,1,0,0,0.03,6.06,4,2.06,0.31,0.06,
61,Kenny Moore*,Kenny Moore,#N/A,IND,26,RCB,17,16,0.24,4.59,0,32,0.76,0.06,0,0,0,0,0.06,6,4.82,1.18,0.35,0.06,
62,Jessie Bates III,Jessie Bates III,#N/A,CIN,24,FS,15,15,0.07,4.33,0,65,0.27,0,0,1,46,0,0,5.87,4.47,1.4,0.2,0.07,
63,Kareem Jackson,Kareem Jackson,#N/A,DEN,33,SS,15,15,0.07,0.47,0,7,0.13,,,,,0,0.07,5.87,4.13,1.73,0.07,0,
64,Andrew Wingard,Andrew Wingard,#N/A,JAX,25,SS,15,15,0.07,1.53,0,23,0.07,,,,,0,0.07,5.87,3.8,2.07,0.13,0.07,
65,Desmond King,Desmond King,#N/A,HOU,27,LCB,16,12,0.19,1.56,0,25,0.38,0.06,0,0,0,0,0,5.81,4.25,1.56,0.06,0,
66,Jordan Poyer+,Jordan Poyer,#N/A,BUF,30,SS,16,16,0.31,5.44,0,26,0.56,,,,,0,0.19,5.81,4.13,1.69,0.5,0.19,
67,Jeremy Reaves,Jeremy Reaves,#N/A,WAS,25,DB,5,2,0,0,0,0,0.2,,,,,0,0,5.8,4,1.8,0.2,0,
